14 06 2017, 4.86, 22.32
15 06 2017, 8.15, 18.46
16 06 2017, 2.70, 12.84
17 06 2017, 108.41, 16.29
18 06 2017, 17.40, 17.27
19 06 2017, 141.99, 25.66
20 06 2017, 103.81, 22.26
21 06 2017, 0.00, 14.82
22 06 2017, 0.00, 14.10
23 06 2017, 0.97, 15.31
24 06 2017, 53.74, 14.71
25 06 2017, 0.00, 27.54
26 06 2017, 0.00, 25.64
27 06 2017, 4.78, 24.42
28 06 2017, 45.22, 18.77
29 06 2017, 0.00, 25.87
30 06 2017, 28.22, 29.04
01 07 2017, 45.61, 27.95
02 07 2017, 73.68, 25.87
03 07 2017, 13.12, 28.39
04 07 2017, 0.00, 22.51
05 07 2017, 4.51, 22.55
06 07 2017, 7.15, 18.14
07 07 2017, 29.13, 13.43
08 07 2017, 47.89, 15.17
09 07 2017, 64.90, 15.89
10 07 2017, 136.69, 41.63
11 07 2017, 14.63, 20.24
12 07 2017, 7.98, 37.32
13 07 2017, 20.43, 26.67
14 07 2017, 56.85, 35.37
15 07 2017, 0.00, 27.99
16 07 2017, 0.00, 22.11
17 07 2017, 0.00, 23.56
18 07 2017, 31.09, 23.89
19 07 2017, 98.06, 20.18
20 07 2017, 10.72, 17.97
21 07 2017, 30.26, 23.94
22 07 2017, 0.00, 21.18
23 07 2017, 65.33, 20.81
24 07 2017, 15.75, 18.73
25 07 2017, 0.00, 28.88
26 07 2017, 22.68, 33.88
27 07 2017, 0.00, 35.71
28 07 2017, 19.21, 30.27
29 07 2017, 0.00, 27.76
30 07 2017, 0.00, 37.62
31 07 2017, 0.18, 26.58
01 08 2017, 159.84, 33.67
02 08 2017, 0.00, 35.70
03 08 2017, 0.15, 38.07
04 08 2017, 0.00, 28.05
05 08 2017, 0.62, 24.24
06 08 2017, 16.87, 23.20
07 08 2017, 9.59, 27.42
08 08 2017, 10.22, 15.58
09 08 2017, 0.00, 15.60
10 08 2017, 9.82, 20.03
11 08 2017, 336.31, 37.75
12 08 2017, 0.00, 22.69
13 08 2017, 1054.61, 31.62
14 08 2017, 625.90, 29.91
15 08 2017, 14.33, 17.07
16 08 2017, 1.48, 15.55
17 08 2017, 0.00, 26.06
18 08 2017, 154.92, 25.79
19 08 2017, 283.24, 23.27
20 08 2017, 101.61, 21.98
21 08 2017, 0.00, 16.88
22 08 2017, 43.93, 31.98
23 08 2017, 8.40, 32.41
24 08 2017, 0.00, 21.85
25 08 2017, 5.66, 28.48
26 08 2017, 12.45, 25.28
27 08 2017, 7.30, 18.87
28 08 2017, 0.00, 31.54
29 08 2017, 56.48, 16.35
30 08 2017, 6.21, 12.49
31 08 2017, 0.00, 20.76
01 09 2017, 0.00, 14.29
02 09 2017, 0.00, 21.16
03 09 2017, 0.00, 26.56
04 09 2017, 0.00, 30.11
05 09 2017, 18.12, 31.17
06 09 2017, 0.00, 20.79
07 09 2017, 23.71, 21.51
08 09 2017, 0.00, 20.65
09 09 2017, 0.00, 18.86
10 09 2017, 0.00, 19.38
11 09 2017, 0.00, 25.84
12 09 2017, 263.48, 33.59
13 09 2017, 119.69, 24.08
14 09 2017, 20.96, 16.00
15 09 2017, 0.00, 31.31
16 09 2017, 0.00, 15.76
17 09 2017, 0.00, 22.39
18 09 2017, 0.46, 31.01
19 09 2017, 7.87, 21.37
20 09 2017, 6.83, 16.10
21 09 2017, 0.00, 24.92
22 09 2017, 0.00, 23.65
23 09 2017, 0.00, 17.93
24 09 2017, 0.00, 11.40
25 09 2017, 0.00, 16.10
26 09 2017, 0.00, 14.68
27 09 2017, 0.00, 14.30
28 09 2017, 0.00, 14.64
29 09 2017, 0.00, 11.03
30 09 2017, 1.66, 14.42
01 10 2017, 18.90, 14.95
02 10 2017, 0.47, 10.26
04 10 2017, 0.00, 17.31
05 10 2017, 29.96, 18.63
06 10 2017, 3.82, 13.68
07 10 2017, 10.12, 15.42
08 10 2017, 7.45, 13.83
09 10 2017, 0.00, 22.43
10 10 2017, 0.00, 11.76
11 10 2017, 0.00, 15.97
12 10 2017, 0.79, 16.08
13 10 2017, 14.50, 22.25
14 10 2017, 15.53, 17.70
15 10 2017, 0.00, 23.43
16 10 2017, 0.00, 12.83
17 10 2017, 0.00, 23.07
18 10 2017, 0.00, 24.33
19 10 2017, 3.54, 12.82
20 10 2017, 0.88, 7.76
21 10 2017, 0.00, 7.45
22 10 2017, 0.32, 6.19
23 10 2017, 0.00, 6.72
24 10 2017, 0.00, 5.39
25 10 2017, 0.00, 5.21
26 10 2017, 0.00, 10.41
27 10 2017, 0.00, 16.21
28 10 2017, 0.00, 9.93
29 10 2017, 0.00, 14.32
30 10 2017, 0.37, 14.68
31 10 2017, 0.00, 12.78
01 11 2017, 9.42, 8.56
02 11 2017, 0.00, 11.76
03 11 2017, 0.00, 16.60
04 11 2017, 1.27, 11.98
05 11 2017, 0.13, 11.83
06 11 2017, 0.00, 10.18
07 11 2017, 0.00, 11.37
08 11 2017, 4.17, 7.44
09 11 2017, 3.77, 11.77
10 11 2017, 0.00, 13.67
11 11 2017, 0.00, 14.03
12 11 2017, 7.86, 9.60
13 11 2017, 0.00, 8.95
14 11 2017, 0.00, 16.23
15 11 2017, 9.03, 7.43
16 11 2017, 0.28, 9.33
17 11 2017, 0.00, 6.85
18 11 2017, 0.00, 9.20
19 11 2017, 0.00, 12.54
20 11 2017, 0.00, 8.07
21 11 2017, 0.20, 5.95
22 11 2017, 0.00, 6.79
23 11 2017, 1.86, 5.75
24 11 2017, 0.00, 6.32
25 11 2017, 0.00, 13.12
26 11 2017, 0.00, 15.83
27 11 2017, 0.00, 15.75
28 11 2017, 0.00, 12.73
29 11 2017, 0.00, 12.30
30 11 2017, 0.00, 12.26
01 12 2017, 0.00, 16.15
02 12 2017, 0.00, 7.66
03 12 2017, 0.00, 10.40
04 12 2017, 0.00, 12.28
05 12 2017, 0.00, 9.05
06 12 2017, 0.00, 7.60
07 12 2017, 19.06, 5.71
08 12 2017, 0.00, 12.81
09 12 2017, 0.00, 13.59
10 12 2017, 0.00, 12.00
11 12 2017, 0.00, 13.19
12 12 2017, 0.00, 10.61
