01 01 2017, 0.00, 13.44
02 01 2017, 0.74, 9.43
03 01 2017, 0.00, 4.91
04 01 2017, 0.00, 6.82
05 01 2017, 0.00, 5.09
06 01 2017, 0.00, 2.96
07 01 2017, 0.00, 2.72
08 01 2017, 0.00, 1.68
09 01 2017, 0.00, 3.07
10 01 2017, 0.00, 6.36
11 01 2017, 0.00, 8.67
12 01 2017, 0.00, 6.15
13 01 2017, 0.00, 5.86
14 01 2017, 0.00, 11.13
15 01 2017, 0.00, 7.13
16 01 2017, 0.00, 6.02
17 01 2017, 0.00, 4.59
18 01 2017, 0.39, 4.22
19 01 2017, 0.00, 10.35
20 01 2017, 9.30, 5.93
21 01 2017, 0.00, 5.33
22 01 2017, 0.00, 9.45
24 01 2017, 0.00, 7.78
25 01 2017, 0.00, 3.28
26 01 2017, 0.00, 4.86
27 01 2017, 0.00, 8.17
28 01 2017, 0.00, 8.96
29 01 2017, 0.00, 8.82
30 01 2017, 0.00, 5.84
31 01 2017, 0.00, 6.98
01 02 2017, 0.00, 6.05
02 02 2017, 8.58, 5.13
03 02 2017, 0.00, 7.23
04 02 2017, 0.00, 7.13
05 02 2017, 0.00, 5.01
06 02 2017, 0.00, 3.35
07 02 2017, 0.00, 2.86
08 02 2017, 0.00, 4.08
09 02 2017, 0.00, 6.12
10 02 2017, 0.00, 6.55
11 02 2017, 0.00, 5.81
12 02 2017, 0.00, 6.44
13 02 2017, 0.01, 8.02
14 02 2017, 0.00, 8.03
15 02 2017, 0.00, 3.82
16 02 2017, 0.00, 6.25
17 02 2017, 0.00, 8.54
18 02 2017, 0.00, 8.08
19 02 2017, 0.01, 8.76
20 02 2017, 0.00, 9.92
21 02 2017, 0.00, 10.45
22 02 2017, 0.00, 4.72
23 02 2017, 9.34, 8.04
24 02 2017, 0.00, 16.88
25 02 2017, 23.04, 5.11
26 02 2017, 0.00, 8.13
27 02 2017, 0.02, 5.87
28 02 2017, 0.00, 10.76
01 03 2017, 0.00, 15.65
02 03 2017, 0.00, 8.61
03 03 2017, 1.51, 9.49
04 03 2017, 0.00, 8.98
05 03 2017, 0.00, 13.38
06 03 2017, 0.00, 14.48
07 03 2017, 0.00, 14.58
08 03 2017, 0.00, 8.98
09 03 2017, 0.00, 10.64
10 03 2017, 0.00, 10.00
11 03 2017, 0.00, 15.25
12 03 2017, 0.00, 7.61
13 03 2017, 0.00, 5.61
14 03 2017, 0.00, 4.80
15 03 2017, 0.00, 9.36
16 03 2017, 10.95, 7.72
17 03 2017, 22.07, 6.28
18 03 2017, 0.00, 9.15
19 03 2017, 21.90, 8.19
20 03 2017, 13.91, 5.15
21 03 2017, 0.00, 8.76
22 03 2017, 0.00, 13.57
23 03 2017, 0.00, 6.27
24 03 2017, 1.97, 9.52
25 03 2017, 0.00, 5.49
26 03 2017, 43.02, 5.88
27 03 2017, 0.00, 5.22
28 03 2017, 38.89, 4.50
29 03 2017, 0.00, 5.43
30 03 2017, 39.48, 3.44
31 03 2017, 0.00, 12.19
01 04 2017, 0.00, 8.54
02 04 2017, 36.63, 13.47
03 04 2017, 3.76, 14.84
04 04 2017, 45.19, 9.12
05 04 2017, 34.78, 11.53
06 04 2017, 0.00, 8.08
07 04 2017, 0.01, 13.45
08 04 2017, 24.14, 8.13
09 04 2017, 0.00, 8.64
10 04 2017, 0.00, 9.37
11 04 2017, 0.00, 14.17
12 04 2017, 0.00, 5.51
13 04 2017, 0.44, 11.65
14 04 2017, 0.00, 4.03
15 04 2017, 0.00, 7.13
16 04 2017, 0.00, 8.88
17 04 2017, 0.00, 4.71
18 04 2017, 42.58, 4.97
19 04 2017, 78.72, 3.79
20 04 2017, 0.00, 3.79
21 04 2017, 0.00, 8.18
22 04 2017, 0.01, 7.48
23 04 2017, 0.00, 6.86
24 04 2017, 0.00, 3.29
25 04 2017, 12.36, 7.12
26 04 2017, 0.00, 18.19
27 04 2017, 0.00, 17.73
28 04 2017, 0.00, 20.62
29 04 2017, 0.00, 17.75
30 04 2017, 0.00, 22.07
01 05 2017, 133.07, 16.44
02 05 2017, 0.00, 17.71
03 05 2017, 0.00, 5.11
04 05 2017, 0.00, 7.98
05 05 2017, 0.00, 5.55
06 05 2017, 0.00, 11.12
07 05 2017, 3.65, 17.18
08 05 2017, 0.00, 13.09
09 05 2017, 3.90, 7.69
10 05 2017, 17.11, 4.78
11 05 2017, 0.00, 8.65
12 05 2017, 1.07, 6.37
13 05 2017, 0.00, 7.44
14 05 2017, 217.58, 7.78
15 05 2017, 91.82, 8.92
16 05 2017, 0.00, 6.72
17 05 2017, 0.00, 5.43
18 05 2017, 0.00, 9.05
19 05 2017, 0.00, 9.62
20 05 2017, 0.00, 16.41
21 05 2017, 6.77, 15.75
22 05 2017, 69.73, 10.81
23 05 2017, 36.98, 12.62
24 05 2017, 16.30, 15.68
25 05 2017, 147.57, 12.23
26 05 2017, 5.03, 14.04
27 05 2017, 57.88, 8.35
28 05 2017, 0.00, 16.24
29 05 2017, 134.44, 27.49
30 05 2017, 230.20, 18.27
31 05 2017, 0.00, 23.84
01 06 2017, 20.77, 13.35
02 06 2017, 0.00, 9.49
03 06 2017, 18.97, 8.64
04 06 2017, 12.42, 13.25
05 06 2017, 146.76, 21.91
06 06 2017, 50.15, 15.18
07 06 2017, 0.00, 12.53
08 06 2017, 0.00, 29.19
09 06 2017, 115.28, 18.16
10 06 2017, 52.43, 18.50
11 06 2017, 183.69, 16.22
12 06 2017, 77.61, 21.97
13 06 2017, 0.00, 16.49
14 06 2017, 0.85, 18.82
15 06 2017, 27.54, 12.59
16 06 2017, 0.00, 10.62
17 06 2017, 46.07, 12.86
18 06 2017, 91.86, 14.04
19 06 2017, 0.00, 17.87
20 06 2017, 0.00, 18.57
21 06 2017, 60.18, 13.39
22 06 2017, 29.21, 10.98
23 06 2017, 94.07, 13.70
24 06 2017, 104.36, 14.66
25 06 2017, 30.72, 20.85
26 06 2017, 0.00, 20.13
27 06 2017, 104.48, 14.52
28 06 2017, 48.26, 14.39
29 06 2017, 0.00, 26.62
30 06 2017, 690.28, 29.48
01 07 2017, 35.12, 17.60
02 07 2017, 45.36, 24.44
03 07 2017, 0.00, 25.15
04 07 2017, 18.99, 10.85
05 07 2017, 0.00, 15.71
06 07 2017, 0.00, 9.74
07 07 2017, 70.07, 12.52
08 07 2017, 105.44, 13.40
09 07 2017, 73.19, 13.61
10 07 2017, 152.52, 16.91
11 07 2017, 81.83, 19.34
12 07 2017, 186.79, 28.86
13 07 2017, 39.12, 20.44
14 07 2017, 203.80, 26.90
15 07 2017, 0.00, 20.36
16 07 2017, 28.64, 19.40
17 07 2017, 148.06, 22.64
18 07 2017, 45.36, 16.22
19 07 2017, 43.35, 17.07
20 07 2017, 97.17, 19.01
21 07 2017, 53.18, 17.59
22 07 2017, 53.97, 22.04
23 07 2017, 72.86, 16.66
24 07 2017, 90.35, 21.46
25 07 2017, 67.56, 27.07
26 07 2017, 141.46, 30.36
27 07 2017, 24.06, 19.62
28 07 2017, 36.66, 30.54
29 07 2017, 392.90, 27.85
30 07 2017, 0.00, 27.00
31 07 2017, 23.69, 24.60
01 08 2017, 40.19, 24.08
02 08 2017, 774.38, 30.02
03 08 2017, 0.00, 18.05
04 08 2017, 657.51, 27.84
05 08 2017, 162.94, 21.14
06 08 2017, 131.82, 28.96
07 08 2017, 0.00, 13.86
08 08 2017, 15.61, 13.55
